model;outcome;spec;term;coefficient;effect_IRR;standard_error;confidence_interval;ci_low_IRR;ci_high_IRR;p_value;n_observations;interpretation;extra
ITS-Poisson;Composite (манёвренные);MAY;post;0.80084;2.2274;0.23386;"[1.408; 3.523]";1.4084;3.5226;0.00062;122;скачок уровня: IRR=2.227, p=0.0006;
ITS-Poisson;Composite (манёвренные);MAY;time_after;0.02437;1.0247;0.00765;"[1.009; 1.040]";1.0094;1.0402;0.00146;122;изменение тренда: IRR=1.025, p=0.0015;
ITS-NegBin;Composite (манёвренные);MAY;post;0.79715;2.2192;0.23509;"[1.400; 3.518]";1.3999;3.5181;0.0007;122;скачок уровня: IRR=2.219, p=0.0007;
ITS-NegBin;Composite (манёвренные);MAY;time_after;0.02373;1.024;0.00765;"[1.009; 1.039]";1.0088;1.0395;0.00192;122;изменение тренда: IRR=1.024, p=0.0019;
ITS-Poisson;Нарушение разметки;MAY;post;1.38751;4.0049;0.41288;"[1.783; 8.996]";1.7829;8.9959;0.00078;122;скачок уровня: IRR=4.005, p=0.0008;
ITS-Poisson;Нарушение разметки;MAY;time_after;0.05321;1.0546;0.01173;"[1.031; 1.079]";1.0307;1.0792;1e-05;122;изменение тренда: IRR=1.055, p=0.0000;
ITS-NegBin;Нарушение разметки;MAY;post;1.31908;3.74;0.44558;"[1.562; 8.957]";1.5617;8.9569;0.00307;122;скачок уровня: IRR=3.740, p=0.0031;
ITS-NegBin;Нарушение разметки;MAY;time_after;0.05024;1.0515;0.0114;"[1.028; 1.075]";1.0283;1.0753;1e-05;122;изменение тренда: IRR=1.052, p=0.0000;
ITS-Poisson;Остановка/стоянка в неположенном месте;MAY;post;-0.12084;0.8862;0.28509;"[0.507; 1.550]";0.5068;1.5495;0.67167;122;скачок уровня: IRR=0.886, p=0.6717;
ITS-Poisson;Остановка/стоянка в неположенном месте;MAY;time_after;0.01102;1.0111;0.0093;"[0.993; 1.030]";0.9928;1.0297;0.23604;122;изменение тренда: IRR=1.011, p=0.2360;
ITS-NegBin;Остановка/стоянка в неположенном месте;MAY;post;-0.12089;0.8861;0.28638;"[0.506; 1.553]";0.5055;1.5533;0.67292;122;скачок уровня: IRR=0.886, p=0.6729;
ITS-NegBin;Остановка/стоянка в неположенном месте;MAY;time_after;0.01102;1.0111;0.00934;"[0.993; 1.030]";0.9927;1.0298;0.23824;122;изменение тренда: IRR=1.011, p=0.2382;
ITS-Poisson;Пересечение стоп-линии;MAY;post;0.71775;2.0498;0.1656;"[1.482; 2.836]";1.4817;2.8358;1e-05;122;скачок уровня: IRR=2.050, p=0.0000;
ITS-Poisson;Пересечение стоп-линии;MAY;time_after;0.00751;1.0075;0.00707;"[0.994; 1.022]";0.9937;1.0216;0.28797;122;изменение тренда: IRR=1.008, p=0.2880;
ITS-NegBin;Пересечение стоп-линии;MAY;post;0.71777;2.0499;0.16635;"[1.480; 2.840]";1.4795;2.84;2e-05;122;скачок уровня: IRR=2.050, p=0.0000;
