client_id;n_vehicles;gender;age_type_code;kladr_code;region_name;auto_mark;auto_year;vehicle_age_2026;price;engine_litres;engine_hp;color;subscription_dt;cohort;fines_2025_apr_aug;apr_2025;may_2025;jun_2025;jul_2025;aug_2025
00049004b7a7343f78e9102655724e90;2;M;A40;78;Санкт-Петербург;KIA;2021;5;3078599.0;2.0;150.0;ЧЕРНЫЙ ПЕРЛАМУТР;2023-08-26;A_pre_2025_04;4;0;2;0;0;2
000785004fc8858930fba388ae2753a8;2;M;A20;54;Новосибирская область;VOLKSWAGEN;2011;15;1654376.0;2.0;170.0;ЧЕРНЫЙ;2019-06-25;A_pre_2025_04;3;1;0;0;1;1
0008bb56f8889602d088e86dbd9dc472;1;M;A20;77;Москва;SKODA;2016;10;1367490.0;1.6;110.0;БЕЛЫЙ;2025-03-10;A_pre_2025_04;5;0;2;1;2;0
0008ca8e3bbd513d755f479af00c31e2;1;M;A40;74;Челябинская область;TOYOTA;2007;19;1335714.0;2.4;167.0;СЕРЫЙ;2023-06-20;A_pre_2025_04;0;0;0;0;0;0
00093f3709c78522d2b7877db9659082;2;M;A40;66;Свердловская область;LAND ROVER;2007;19;1245000.0;3.2;232.0;СЕРЫЙ;2024-06-27;A_pre_2025_04;2;0;1;1;0;0
000c30e0449b137f28d713ef321d1249;1;M;A40;74;Челябинская область;EXEED;2022;4;2747500.0;1.6;186.0;ЧЕРНЫЙ;2023-11-28;A_pre_2025_04;2;0;1;0;1;0
000cda29bfc42d4076b3f37c930234ba;1;M;A20;16;Республика Татарстан;VOLVO;2007;19;952500.0;2.4;170.0;КРАСНЫЙ;2023-10-06;A_pre_2025_04;3;1;0;0;1;1
0017352a98cab3e93588f2fa70ee51f1;1;F;A20;50;Московская область;BMW;2020;6;4148820.0;2.0;252.0;СЕРЫЙ;2024-09-16;A_pre_2025_04;21;4;2;9;3;3
001744af3b6e9c763a53e912832aa270;1;F;A20;77;Москва;JEEP;2013;13;2801716.0;3.0;241.0;ТЕМНО-СИНИЙ;2026-05-01;C_after_2026_04;0;0;0;0;0;0
00184ae4d36a0e7536756073ff5c1d67;1;M;A40;50;Московская область;HYUNDAI;2014;12;2337342.0;2.4;175.0;ЖЕЛТЫЙ;2021-10-02;A_pre_2025_04;9;0;6;0;1;2
0019f8e59d82c3cf2204d22e54e4912f;1;M;A20;50;Московская область;GAC;2025;1;3380000.0;2.0;231.0;;2026-03-29;B_2025_to_2026_03;0;0;0;0;0;0
001bd03ac19ce89dbd48631567889e80;1;M;A20;16;Республика Татарстан;HYUNDAI;2017;9;1991749.0;1.6;123.0;БЕЛЫЙ;2026-04-17;C_after_2026_04;0;0;0;0;0;0
001d382fca556c026efb585d0f8de60b;1;M;A60;52;Нижегородская область;ГАЗ;2014;12;;2.8;120.0;КРАСНЫЙ;2023-11-26;A_pre_2025_04;0;0;0;0;0;0
001efe475c3124ac8c01f9a570a72195;1;M;A40;74;Челябинская область;FORD;2013;13;1178109.0;1.6;125.0;ЧЕРНЫЙ;2023-11-30;A_pre_2025_04;5;3;0;0;2;0
0021f518b6f585c14828ee09c3552849;1;M;A40;24;Красноярский край;HYUNDAI;2008;18;1045000.0;2.0;141.0;СИНИЙ;2023-08-26;A_pre_2025_04;0;0;0;0;0;0
0023f77bc1b303d618e5078e2a60fd5d;1;M;A40;47;Ленинградская область;HYUNDAI;2021;5;2030628.0;1.6;123.0;СЕРЫЙ;2022-06-24;A_pre_2025_04;0;0;0;0;0;0
0024d63c7c23bb6e6c7637047188b053;1;M;A60;16;Республика Татарстан;HYUNDAI;2022;4;2784833.0;1.6;123.0;;2025-12-01;B_2025_to_2026_03;0;0;0;0;0;0
00259fdf67f9dd585984c4ec077e548a;1;M;A20;72;Тюменская область;KIA;2021;5;2366667.0;1.6;123.0;СЕРЫЙ;2025-05-04;B_2025_to_2026_03;1;0;1;0;0;0
0026266890a085ee2a80184468f2c627;1;M;A40;78;Санкт-Петербург;HYUNDAI;2015;11;1338577.0;1.6;123.0;КОРИЧНЕВЫЙ;2026-09-10;C_after_2026_04;0;0;0;0;0;0
002b5b19c361112c5e55b2ae6349a78a;1;M;A40;50;Московская область;LEXUS;2017;9;4569983.0;2.0;238.0;БЕЛЫЙ;2025-08-02;B_2025_to_2026_03;0;0;0;0;0;0
002bd011c814b52db526509ff5e1f1c7;1;M;A20;77;Москва;MERCEDES-BENZ;2014;12;1734647.0;1.6;122.0;БЕЛЫЙ;2018-12-07;A_pre_2025_04;11;2;2;1;2;4
002c75ad7788cbe89590bee8f41a3c65;1;M;A20;77;Москва;OPEL;2012;14;1133997.0;1.4;140.0;СЕРЫЙ ТЕМНЫЙ;2020-12-08;A_pre_2025_04;1;0;0;1;0;0
