outcome;спец;DiD IRR;CI;p;знч;клиентов
COMPOSITE-6 (гипотеза);MAY;0.972;"[0.919; 1.027]";0.3121;;1723
Манёвренные-5 (без телефона);MAY;1.006;"[0.944; 1.072]";0.8591;;1486
Нарушение разметки;MAY;1.055;"[0.973; 1.144]";0.1969;;826
Остановка/стоянка в неположенном месте;MAY;0.999;"[0.783; 1.274]";0.9924;;254
Пересечение стоп-линии;MAY;1.185;"[1.023; 1.372]";0.0238;**;231
Движение по обочине;MAY;1.103;"[0.801; 1.518]";0.548;;126
Движение по выделенной полосе;MAY;0.722;"[0.631; 0.828]";0.0;***;304
Телефон за рулём;MAY;0.874;"[0.777; 0.982]";0.0236;**;354
[K] Превышение 20-40 км/ч;MAY;0.907;"[0.883; 0.931]";0.0;***;5477
[K] Ремень безопасности;MAY;0.807;"[0.759; 0.859]";0.0;***;722
Все нарушения;MAY;0.886;"[0.867; 0.906]";0.0;***;6111
COMPOSITE-6 (гипотеза);JUN;1.049;"[0.874; 1.258]";0.6083;;1723
Манёвренные-5 (без телефона);JUN;1.022;"[0.835; 1.249]";0.8356;;1486
Нарушение разметки;JUN;1.378;"[1.023; 1.856]";0.0347;**;826
Остановка/стоянка в неположенном месте;JUN;0.683;"[0.415; 1.126]";0.1347;;254
Пересечение стоп-линии;JUN;1.221;"[0.728; 2.045]";0.4493;;231
Движение по обочине;JUN;0.716;"[0.210; 2.436]";0.5925;;126
Движение по выделенной полосе;JUN;0.664;"[0.426; 1.036]";0.0713;*;304
Телефон за рулём;JUN;1.219;"[0.816; 1.819]";0.3335;;354
[K] Превышение 20-40 км/ч;JUN;0.89;"[0.826; 0.958]";0.002;***;5477
[K] Ремень безопасности;JUN;0.907;"[0.681; 1.209]";0.5062;;722
Все нарушения;JUN;0.912;"[0.853; 0.975]";0.0069;***;6111
