outcome;var/mean;Pearson χ²/df;Cameron-Trivedi α;p(α=0);AIC Poisson;AIC NB;p(LR α=0);предпочтительна
COMPOSITE-6 (гипотеза);5.61;3.433;0.045;0.0;1097.9;974.0;0.0;NB
Манёвренные-5 (без телефона);4.63;3.005;0.0438;0.0;1025.3;935.5;0.0;NB
Нарушение разметки;5.24;3.695;0.1231;0.0;1042.5;877.4;0.0;NB
Остановка/стоянка в неположенном месте;1.47;1.053;-0.0036;0.8624;557.7;559.7;0.4993;Poisson
Пересечение стоп-линии;0.92;0.809;-0.0594;0.0045;508.8;510.8;0.5;Poisson
Движение по обочине;3.32;2.739;0.3749;0.0002;591.9;536.3;0.0;NB
Движение по выделенной полосе;1.85;1.374;0.0448;0.0378;618.8;616.1;0.0146;NB
Телефон за рулём;2.44;1.734;0.0694;0.0117;679.8;666.3;0.0;NB
[K] Превышение 20-40 км/ч;20.77;6.199;0.0113;0.0;1669.3;1310.0;0.0;NB
[K] Ремень безопасности;5.52;2.557;0.0585;0.0;913.8;847.1;0.0;NB
[K] Платная дорога;2.59;1.644;0.2343;0.2666;492.4;483.5;0.0005;NB
[K] Световые приборы;1.83;1.546;0.1985;0.0314;419.4;414.6;0.0047;NB
Все нарушения;20.75;7.256;0.0113;0.0;1821.1;1356.0;0.0;NB
