model;outcome;spec;term;coefficient;effect_IRR;standard_error;confidence_interval;ci_low_IRR;ci_high_IRR;p_value;n_observations;interpretation
ITS-Poisson;COMPOSITE-6 (гипотеза);MAY;post;0.76171;2.1419;0.21938;"[1.393; 3.293]";1.3934;3.2927;0.00052;122;скачок уровня, IRR=2.142
ITS-Poisson;COMPOSITE-6 (гипотеза);MAY;time_after;0.02305;1.0233;0.00673;"[1.010; 1.037]";1.0099;1.0369;0.00062;122;изменение тренда, IRR=1.023
ITS-Poisson;Манёвренные-5 (без телефона);MAY;post;0.80084;2.2274;0.23386;"[1.408; 3.523]";1.4084;3.5226;0.00062;122;скачок уровня, IRR=2.227
ITS-Poisson;Манёвренные-5 (без телефона);MAY;time_after;0.02437;1.0247;0.00765;"[1.009; 1.040]";1.0094;1.0402;0.00146;122;изменение тренда, IRR=1.025
ITS-Poisson;Нарушение разметки;MAY;post;1.38751;4.0049;0.41288;"[1.783; 8.996]";1.7829;8.9959;0.00078;122;скачок уровня, IRR=4.005
ITS-Poisson;Нарушение разметки;MAY;time_after;0.05321;1.0546;0.01173;"[1.031; 1.079]";1.0307;1.0792;1e-05;122;изменение тренда, IRR=1.055
ITS-Poisson;Остановка/стоянка в неположенном месте;MAY;post;-0.12084;0.8862;0.28509;"[0.507; 1.550]";0.5068;1.5495;0.67167;122;скачок уровня, IRR=0.886
ITS-Poisson;Остановка/стоянка в неположенном месте;MAY;time_after;0.01102;1.0111;0.0093;"[0.993; 1.030]";0.9928;1.0297;0.23604;122;изменение тренда, IRR=1.011
ITS-Poisson;Пересечение стоп-линии;MAY;post;0.71775;2.0498;0.1656;"[1.482; 2.836]";1.4817;2.8358;1e-05;122;скачок уровня, IRR=2.050
ITS-Poisson;Пересечение стоп-линии;MAY;time_after;0.00751;1.0075;0.00707;"[0.994; 1.022]";0.9937;1.0216;0.28797;122;изменение тренда, IRR=1.008
ITS-Poisson;Движение по обочине;MAY;post;0.40718;1.5026;0.5387;"[0.523; 4.319]";0.5227;4.319;0.44973;122;скачок уровня, IRR=1.503
ITS-Poisson;Движение по обочине;MAY;time_after;-0.05941;0.9423;0.04607;"[0.861; 1.031]";0.861;1.0314;0.1972;122;изменение тренда, IRR=0.942
ITS-Poisson;Движение по выделенной полосе;MAY;post;0.75037;2.1178;0.20871;"[1.407; 3.188]";1.4068;3.1881;0.00032;122;скачок уровня, IRR=2.118
ITS-Poisson;Движение по выделенной полосе;MAY;time_after;0.02122;1.0214;0.00636;"[1.009; 1.034]";1.0088;1.0343;0.00085;122;изменение тренда, IRR=1.021
ITS-Poisson;Телефон за рулём;MAY;post;0.56194;1.7541;0.19484;"[1.197; 2.570]";1.1973;2.5698;0.00393;122;скачок уровня, IRR=1.754
ITS-Poisson;Телефон за рулём;MAY;time_after;0.01539;1.0155;0.00689;"[1.002; 1.029]";1.0019;1.0293;0.02546;122;изменение тренда, IRR=1.016
ITS-Poisson;[K] Превышение 20-40 км/ч;MAY;post;0.23332;1.2628;0.07191;"[1.097; 1.454]";1.0968;1.4539;0.00118;122;скачок уровня, IRR=1.263
ITS-Poisson;[K] Превышение 20-40 км/ч;MAY;time_after;0.00166;1.0017;0.0021;"[0.998; 1.006]";0.9976;1.0058;0.42764;122;изменение тренда, IRR=1.002
ITS-Poisson;[K] Ремень безопасности;MAY;post;1.09896;3.001;0.23931;"[1.877; 4.797]";1.8774;4.7971;0.0;122;скачок уровня, IRR=3.001
ITS-Poisson;[K] Ремень безопасности;MAY;time_after;-0.00813;0.9919;0.01014;"[0.972; 1.012]";0.9724;1.0118;0.42253;122;изменение тренда, IRR=0.992
ITS-Poisson;[K] Платная дорога;MAY;post;-1.2106;0.298;0.23064;"[0.190; 0.468]";0.1896;0.4684;0.0;122;скачок уровня, IRR=0.298
ITS-Poisson;[K] Платная дорога;MAY;time_after;0.01208;1.0121;0.00803;"[0.996; 1.028]";0.9963;1.0282;0.1328;122;изменение тренда, IRR=1.012
ITS-Poisson;[K] Световые приборы;MAY;post;0.40621;1.5011;0.43797;"[0.636; 3.542]";0.6362;3.5418;0.35367;122;скачок уровня, IRR=1.501
ITS-Poisson;[K] Световые приборы;MAY;time_after;-0.03873;0.962;0.03063;"[0.906; 1.022]";0.906;1.0215;0.20617;122;изменение тренда, IRR=0.962
ITS-Poisson;Все нарушения;MAY;post;0.32233;1.3803;0.07803;"[1.185; 1.608]";1.1846;1.6084;4e-05;122;скачок уровня, IRR=1.380
ITS-Poisson;Все нарушения;MAY;time_after;0.00362;1.0036;0.00224;"[0.999; 1.008]";0.9992;1.008;0.10588;122;изменение тренда, IRR=1.004
