outcome;спец;IRR сырой;p сырой;IRR отн. прочих;CI;p отн.;знч
COMPOSITE-6 (гипотеза);MAY;2.142;0.0005;1.626;"[1.146; 2.309]";0.0065;***
Манёвренные-5 (без телефона);MAY;2.227;0.0006;1.692;"[1.153; 2.483]";0.0072;***
Нарушение разметки;MAY;4.005;0.0008;2.988;"[1.428; 6.251]";0.0037;***
Остановка/стоянка в неположенном месте;MAY;0.886;0.6717;0.677;"[0.376; 1.217]";0.1924;
Пересечение стоп-линии;MAY;2.05;0.0;1.561;"[1.157; 2.107]";0.0036;***
Движение по обочине;MAY;1.503;0.4497;1.214;"[0.428; 3.442]";0.7157;
Движение по выделенной полосе;MAY;2.118;0.0003;1.609;"[1.113; 2.326]";0.0114;**
Телефон за рулём;MAY;1.754;0.0039;1.33;"[0.991; 1.786]";0.0574;*
COMPOSITE-6 (гипотеза);JUN;0.939;0.4638;1.026;"[0.884; 1.191]";0.735;
Манёвренные-5 (без телефона);JUN;0.938;0.4896;1.026;"[0.872; 1.206]";0.7595;
Нарушение разметки;JUN;1.115;0.4894;1.22;"[0.914; 1.629]";0.1768;
Остановка/стоянка в неположенном месте;JUN;1.094;0.5113;1.183;"[0.898; 1.558]";0.2318;
Пересечение стоп-линии;JUN;0.664;0.0004;0.725;"[0.568; 0.925]";0.0097;***
Движение по обочине;JUN;0.294;0.0004;0.319;"[0.158; 0.642]";0.0014;***
Движение по выделенной полосе;JUN;0.779;0.1877;0.852;"[0.603; 1.204]";0.3653;
Телефон за рулём;JUN;0.941;0.5364;1.023;"[0.850; 1.233]";0.8083;
