outcome;спец;IRR;CI;p;знч;клиентов
COMPOSITE-6 (гипотеза);MAY;1.47;"[1.445; 1.496]";0.0;***;3537
COMPOSITE-6 (гипотеза);JUN;0.959;"[0.908; 1.013]";0.1317;;3537
Манёвренные-5 (без телефона);MAY;1.434;"[1.407; 1.462]";0.0;***;3022
Манёвренные-5 (без телефона);JUN;0.932;"[0.877; 0.990]";0.0218;**;3022
Нарушение разметки;MAY;1.79;"[1.749; 1.832]";0.0;***;1645
Нарушение разметки;JUN;0.955;"[0.880; 1.037]";0.2763;;1645
Остановка/стоянка в неположенном месте;MAY;0.722;"[0.674; 0.772]";0.0;***;524
Остановка/стоянка в неположенном месте;JUN;0.912;"[0.780; 1.066]";0.248;;524
Пересечение стоп-линии;MAY;1.705;"[1.621; 1.795]";0.0;***;466
Пересечение стоп-линии;JUN;1.046;"[0.888; 1.232]";0.5886;;466
Движение по обочине;MAY;1.372;"[1.270; 1.482]";0.0;***;245
Движение по обочине;JUN;0.566;"[0.421; 0.759]";0.0001;***;245
Движение по выделенной полосе;MAY;1.389;"[1.325; 1.455]";0.0;***;657
Движение по выделенной полосе;JUN;0.984;"[0.853; 1.134]";0.8195;;657
Телефон за рулём;MAY;1.673;"[1.611; 1.737]";0.0;***;757
Телефон за рулём;JUN;1.098;"[0.970; 1.243]";0.1409;;757
[K] Превышение 20-40 км/ч;MAY;1.301;"[1.290; 1.312]";0.0;***;11665
[K] Превышение 20-40 км/ч;JUN;1.057;"[1.033; 1.082]";0.0;***;11665
[K] Ремень безопасности;MAY;2.744;"[2.687; 2.803]";0.0;***;1479
[K] Ремень безопасности;JUN;0.973;"[0.878; 1.078]";0.5993;;1479
[K] Платная дорога;MAY;0.876;"[0.798; 0.961]";0.0052;***;237
[K] Платная дорога;JUN;2.115;"[1.695; 2.638]";0.0;***;237
[K] Световые приборы;MAY;3.316;"[3.091; 3.557]";0.0;***;143
[K] Световые приборы;JUN;1.522;"[1.206; 1.920]";0.0004;***;143
Все нарушения;MAY;1.356;"[1.346; 1.366]";0.0;***;13014
Все нарушения;JUN;1.049;"[1.027; 1.071]";0.0;***;13014
