спецификация;IRR;CI 95%;p-value;знч;N;комментарий;спец
[MAY] ITS-Poisson;2.142;"[1.393; 3.293]";0.0005;***;122;основная временная модель;MAY
[MAY] ITS-NegBin;2.13;"[1.373; 3.304]";0.0007;***;122;учёт сверхдисперсии;MAY
[MAY] ITS + offset(прочие штрафы);1.626;"[1.146; 2.309]";0.0065;***;122;эффект относительно общего потока;MAY
[MAY] outcome = манёвренные-5 (без телефона);2.227;"[1.408; 3.523]";0.0006;***;122;альтернативное определение outcome;MAY
[MAY] outcome = без парковки;2.524;"[1.402; 4.545]";0.002;***;122;альтернативное определение outcome;MAY
[MAY] outcome = без разметки;1.565;"[1.238; 1.979]";0.0002;***;122;альтернативное определение outcome;MAY
[MAY] без Москвы и СПб;1.05;"[0.867; 1.271]";0.6202;;122;исключены столичные составы;MAY
[MAY] Panel FE (усл. Пуассон);1.47;"[1.445; 1.496]";0.0;***;14148;FE клиента, 3537 клиентов;MAY
[MAY] DiD связан/не связан лимитом;0.972;"[0.919; 1.027]";0.3121;;6892;естественная контрольная группа;MAY
[MAY] окно ±6 недель;1.5;"[0.996; 2.260]";0.0523;*;84;локальное окно вокруг события;MAY
[JUN] ITS-Poisson;0.939;"[0.794; 1.111]";0.4638;;122;основная временная модель;JUN
[JUN] ITS-NegBin;0.948;"[0.784; 1.147]";0.5851;;122;учёт сверхдисперсии;JUN
[JUN] ITS + offset(прочие штрафы);1.026;"[0.884; 1.191]";0.735;;122;эффект относительно общего потока;JUN
[JUN] outcome = манёвренные-5 (без телефона);0.938;"[0.782; 1.125]";0.4896;;122;альтернативное определение outcome;JUN
[JUN] outcome = без парковки;0.915;"[0.754; 1.110]";0.3655;;122;альтернативное определение outcome;JUN
[JUN] outcome = без разметки;0.797;"[0.693; 0.917]";0.0015;***;122;альтернативное определение outcome;JUN
[JUN] без Москвы и СПб;0.881;"[0.788; 0.985]";0.0264;**;122;исключены столичные составы;JUN
[JUN] Panel FE (усл. Пуассон);0.959;"[0.908; 1.013]";0.1317;;14148;FE клиента, 3537 клиентов;JUN
[JUN] DiD связан/не связан лимитом;1.049;"[0.874; 1.258]";0.6083;;6892;естественная контрольная группа;JUN
[JUN] окно ±6 недель;0.914;"[0.797; 1.048]";0.1973;;84;локальное окно вокруг события;JUN
