спецификация;IRR;CI 95%;p-value;знч;N;комментарий
[MAY] ITS-Poisson, базовая;2.227;"[1.408; 3.523]";0.0006;***;122;основная временная модель
[MAY] ITS-NegBin;2.219;"[1.400; 3.518]";0.0007;***;122;учёт сверхдисперсии (предпочтительна по AIC)
[MAY] ITS + offset(прочие штрафы);1.683;"[1.149; 2.465]";0.0075;***;122;эффект ОТНОСИТЕЛЬНО общего потока фиксации
[MAY] outcome = composite + телефон;2.142;"[1.393; 3.293]";0.0005;***;122;альтернативное определение outcome
[MAY] outcome = composite без парковки;2.756;"[1.404; 5.412]";0.0032;***;122;альтернативное определение outcome
[MAY] outcome = composite без разметки;1.52;"[1.207; 1.914]";0.0004;***;122;альтернативное определение outcome
[MAY] без Москвы и СПб;1.027;"[0.837; 1.260]";0.8018;;122;исключены спец. московские составы
[MAY] Panel FE (усл. Пуассон);1.434;"[1.322; 1.556]";0.0;***;12088;FE клиента, 3022 клиентов
[MAY] DiD (связан/не связан лимитом);1.006;"[0.776; 1.304]";0.9652;;5944;естественная контрольная группа
[MAY] окно ±6 недель;1.603;"[1.033; 2.489]";0.0353;**;84;локальное окно вокруг отсечки
[JUN] ITS-Poisson, базовая;0.938;"[0.782; 1.125]";0.4896;;122;основная временная модель
[JUN] ITS-NegBin;0.944;"[0.773; 1.154]";0.5755;;122;учёт сверхдисперсии (предпочтительна по AIC)
[JUN] ITS + offset(прочие штрафы);1.025;"[0.873; 1.203]";0.7675;;122;эффект ОТНОСИТЕЛЬНО общего потока фиксации
[JUN] outcome = composite + телефон;0.939;"[0.794; 1.111]";0.4638;;122;альтернативное определение outcome
[JUN] outcome = composite без парковки;0.909;"[0.732; 1.129]";0.3867;;122;альтернативное определение outcome
[JUN] outcome = composite без разметки;0.724;"[0.616; 0.851]";0.0001;***;122;альтернативное определение outcome
[JUN] без Москвы и СПб;0.854;"[0.746; 0.977]";0.0219;**;122;исключены спец. московские составы
[JUN] Panel FE (усл. Пуассон);0.932;"[0.865; 1.004]";0.0628;*;12088;FE клиента, 3022 клиентов
[JUN] DiD (связан/не связан лимитом);1.022;"[0.800; 1.305]";0.8645;;5944;естественная контрольная группа
[JUN] окно ±6 недель;0.921;"[0.795; 1.068]";0.2759;;84;локальное окно вокруг отсечки
