outcome;спец;DiD IRR;CI;SE;p;знч;клиентов;набл.
Composite (манёвренные);MAY;1.006;"[0.776; 1.304]";0.1325;0.9652;;1486;5944
Нарушение разметки;MAY;1.055;"[0.722; 1.541]";0.1933;0.7822;;826;3304
Остановка/стоянка в неположенном месте;MAY;0.999;"[0.562; 1.776]";0.2937;0.9968;;254;1016
Пересечение стоп-линии;MAY;1.185;"[0.582; 2.410]";0.3624;0.6402;;231;924
Движение по обочине;MAY;1.103;"[0.270; 4.511]";0.7186;0.8916;;126;504
Движение по выделенной полосе;MAY;0.722;"[0.402; 1.300]";0.2997;0.278;;304;1216
Использование телефона за рулём;MAY;0.874;"[0.482; 1.583]";0.3032;0.6559;;354;1416
Превышение 20-40 км/ч;MAY;0.907;"[0.819; 1.005]";0.0522;0.0615;*;5476;21904
Ремень безопасности;MAY;0.807;"[0.518; 1.259]";0.2267;0.3454;;722;2888
Все нарушения;MAY;0.886;"[0.809; 0.971]";0.0464;0.0094;***;6110;24440
Composite (манёвренные);JUN;1.022;"[0.800; 1.305]";0.1249;0.8645;;1486;5944
Нарушение разметки;JUN;1.378;"[0.967; 1.963]";0.1806;0.0757;*;826;3304
Остановка/стоянка в неположенном месте;JUN;0.683;"[0.370; 1.261]";0.3127;0.2231;;254;1016
Пересечение стоп-линии;JUN;1.221;"[0.641; 2.324]";0.3286;0.5442;;231;924
Движение по обочине;JUN;0.716;"[0.162; 3.165]";0.7585;0.6593;;126;504
Движение по выделенной полосе;JUN;0.664;"[0.382; 1.153]";0.2817;0.1461;;304;1216
Использование телефона за рулём;JUN;1.219;"[0.742; 2.002]";0.2533;0.435;;354;1416
Превышение 20-40 км/ч;JUN;0.889;"[0.809; 0.978]";0.0482;0.0152;**;5476;21904
Ремень безопасности;JUN;0.907;"[0.638; 1.291]";0.1798;0.5879;;722;2888
Все нарушения;JUN;0.912;"[0.838; 0.992]";0.0432;0.0324;**;6110;24440
