outcome;модель;эффект;коэф;SE;p;знч;IRR
Composite (манёвренные);ITS-OLS/NW;скачок уровня β2;-2.6707;3.9655;0.5006;;
Composite (манёвренные);ITS-OLS/NW;изменение тренда β3;-0.7973;0.153;0.0;***;
Composite (манёвренные);ITS-Poisson;скачок уровня β2;-0.064;0.0926;0.4896;;0.938
Composite (манёвренные);ITS-Poisson;изменение тренда β3;-0.0204;0.0042;0.0;***;0.98
Composite (манёвренные);ITS-NegBin;скачок уровня β2;-0.0573;0.1023;0.5755;;0.944
Composite (манёвренные);ITS-NegBin;изменение тренда β3;-0.0196;0.0044;0.0;***;0.981
Нарушение разметки;ITS-OLS/NW;скачок уровня β2;3.6234;3.6407;0.3196;;
Нарушение разметки;ITS-OLS/NW;изменение тренда β3;-0.7203;0.1234;0.0;***;
Нарушение разметки;ITS-Poisson;скачок уровня β2;0.1092;0.158;0.4894;;1.115
Нарушение разметки;ITS-Poisson;изменение тренда β3;-0.0352;0.0071;0.0;***;0.965
Нарушение разметки;ITS-NegBin;скачок уровня β2;0.1465;0.1814;0.4194;;1.158
Нарушение разметки;ITS-NegBin;изменение тренда β3;-0.0332;0.0072;0.0;***;0.967
Остановка/стоянка в неположенном месте;ITS-OLS/NW;скачок уровня β2;0.5777;0.6801;0.3957;;
Остановка/стоянка в неположенном месте;ITS-OLS/NW;изменение тренда β3;0.0443;0.0283;0.1172;;
Остановка/стоянка в неположенном месте;ITS-Poisson;скачок уровня β2;0.09;0.1371;0.5113;;1.094
Остановка/стоянка в неположенном месте;ITS-Poisson;изменение тренда β3;0.0082;0.0055;0.1338;;1.008
Остановка/стоянка в неположенном месте;ITS-NegBin;скачок уровня β2;0.0899;0.1377;0.5136;;1.094
Остановка/стоянка в неположенном месте;ITS-NegBin;изменение тренда β3;0.0082;0.0055;0.1355;;1.008
Пересечение стоп-линии;ITS-OLS/NW;скачок уровня β2;-1.8557;0.5289;0.0005;***;
Пересечение стоп-линии;ITS-OLS/NW;изменение тренда β3;-0.0405;0.0215;0.0597;*;
