outcome;модель;эффект;коэф;SE;p;знч;IRR
Composite (манёвренные);ITS-OLS/NW;скачок уровня β2;25.9109;8.1543;0.0015;***;
Composite (манёвренные);ITS-OLS/NW;изменение тренда β3;0.7159;0.252;0.0045;***;
Composite (манёвренные);ITS-Poisson;скачок уровня β2;0.8008;0.2339;0.0006;***;2.227
Composite (манёвренные);ITS-Poisson;изменение тренда β3;0.0244;0.0077;0.0015;***;1.025
Composite (манёвренные);ITS-NegBin;скачок уровня β2;0.7972;0.2351;0.0007;***;2.219
Composite (манёвренные);ITS-NegBin;изменение тренда β3;0.0237;0.0077;0.0019;***;1.024
Нарушение разметки;ITS-OLS/NW;скачок уровня β2;18.0087;7.0364;0.0105;**;
Нарушение разметки;ITS-OLS/NW;изменение тренда β3;0.661;0.1819;0.0003;***;
Нарушение разметки;ITS-Poisson;скачок уровня β2;1.3875;0.4129;0.0008;***;4.005
Нарушение разметки;ITS-Poisson;изменение тренда β3;0.0532;0.0117;0.0;***;1.055
Нарушение разметки;ITS-NegBin;скачок уровня β2;1.3191;0.4456;0.0031;***;3.74
Нарушение разметки;ITS-NegBin;изменение тренда β3;0.0502;0.0114;0.0;***;1.052
Остановка/стоянка в неположенном месте;ITS-OLS/NW;скачок уровня β2;-0.5747;1.6353;0.7253;;
Остановка/стоянка в неположенном месте;ITS-OLS/NW;изменение тренда β3;0.0771;0.0599;0.1975;;
Остановка/стоянка в неположенном месте;ITS-Poisson;скачок уровня β2;-0.1208;0.2851;0.6717;;0.886
Остановка/стоянка в неположенном месте;ITS-Poisson;изменение тренда β3;0.011;0.0093;0.236;;1.011
Остановка/стоянка в неположенном месте;ITS-NegBin;скачок уровня β2;-0.1209;0.2864;0.6729;;0.886
Остановка/стоянка в неположенном месте;ITS-NegBin;изменение тренда β3;0.011;0.0093;0.2382;;1.011
Пересечение стоп-линии;ITS-OLS/NW;скачок уровня β2;2.6282;0.5679;0.0;***;
Пересечение стоп-линии;ITS-OLS/NW;изменение тренда β3;0.0177;0.0206;0.3883;;
Пересечение стоп-линии;ITS-Poisson;скачок уровня β2;0.7178;0.1656;0.0;***;2.05
Пересечение стоп-линии;ITS-Poisson;изменение тренда β3;0.0075;0.0071;0.288;;1.008
Пересечение стоп-линии;ITS-NegBin;скачок уровня β2;0.7178;0.1663;0.0;***;2.05
Пересечение стоп-линии;ITS-NegBin;изменение тренда β3;0.0075;0.0071;0.2902;;1.008
Движение по обочине;ITS-OLS/NW;скачок уровня β2;1.603;1.8231;0.3792;;
Движение по обочине;ITS-OLS/NW;изменение тренда β3;-0.1478;0.1104;0.1806;;
Движение по обочине;ITS-Poisson;скачок уровня β2;0.4072;0.5387;0.4497;;1.503
Движение по обочине;ITS-Poisson;изменение тренда β3;-0.0594;0.0461;0.1972;;0.942
Движение по обочине;ITS-NegBin;скачок уровня β2;0.5685;0.4602;0.2167;;1.766
Движение по обочине;ITS-NegBin;изменение тренда β3;-0.0413;0.031;0.1828;;0.96
Движение по выделенной полосе;ITS-OLS/NW;скачок уровня β2;4.2458;1.375;0.002;***;
Движение по выделенной полосе;ITS-OLS/NW;изменение тренда β3;0.1078;0.0404;0.0077;***;
Движение по выделенной полосе;ITS-Poisson;скачок уровня β2;0.7504;0.2087;0.0003;***;2.118
Движение по выделенной полосе;ITS-Poisson;изменение тренда β3;0.0212;0.0064;0.0008;***;1.021
Движение по выделенной полосе;ITS-NegBin;скачок уровня β2;0.7503;0.2113;0.0004;***;2.118
Движение по выделенной полосе;ITS-NegBin;изменение тренда β3;0.0207;0.0064;0.0012;***;1.021
Использование телефона за рулём;ITS-OLS/NW;скачок уровня β2;3.4156;1.4114;0.0155;**;
Использование телефона за рулём;ITS-OLS/NW;изменение тренда β3;0.0974;0.0476;0.0406;**;
Использование телефона за рулём;ITS-Poisson;скачок уровня β2;0.5619;0.1948;0.0039;***;1.754
Использование телефона за рулём;ITS-Poisson;изменение тренда β3;0.0154;0.0069;0.0255;**;1.016
Использование телефона за рулём;ITS-NegBin;скачок уровня β2;0.5357;0.2082;0.0101;**;1.709
Использование телефона за рулём;ITS-NegBin;изменение тренда β3;0.016;0.0071;0.0237;**;1.016
Превышение 20-40 км/ч;ITS-OLS/NW;скачок уровня β2;81.1802;27.5642;0.0032;***;
Превышение 20-40 км/ч;ITS-OLS/NW;изменение тренда β3;0.4654;0.7243;0.5205;;
Превышение 20-40 км/ч;ITS-Poisson;скачок уровня β2;0.2333;0.0719;0.0012;***;1.263
Превышение 20-40 км/ч;ITS-Poisson;изменение тренда β3;0.0017;0.0021;0.4276;;1.002
Превышение 20-40 км/ч;ITS-NegBin;скачок уровня β2;0.2284;0.0795;0.0041;***;1.257
Превышение 20-40 км/ч;ITS-NegBin;изменение тренда β3;0.0017;0.0022;0.4508;;1.002
Ремень безопасности;ITS-OLS/NW;скачок уровня β2;22.3869;4.8777;0.0;***;
Ремень безопасности;ITS-OLS/NW;изменение тренда β3;-0.1634;0.1125;0.1463;;
Ремень безопасности;ITS-Poisson;скачок уровня β2;1.099;0.2393;0.0;***;3.001
Ремень безопасности;ITS-Poisson;изменение тренда β3;-0.0081;0.0101;0.4225;;0.992
Ремень безопасности;ITS-NegBin;скачок уровня β2;1.1149;0.2379;0.0;***;3.049
Ремень безопасности;ITS-NegBin;изменение тренда β3;-0.0077;0.0094;0.4106;;0.992
Платная дорога;ITS-OLS/NW;скачок уровня β2;-2.6665;0.5291;0.0;***;
Платная дорога;ITS-OLS/NW;изменение тренда β3;0.0241;0.0249;0.3324;;
Платная дорога;ITS-Poisson;скачок уровня β2;-1.2106;0.2306;0.0;***;0.298
Платная дорога;ITS-Poisson;изменение тренда β3;0.0121;0.008;0.1328;;1.012
Платная дорога;ITS-NegBin;скачок уровня β2;-1.1363;0.1841;0.0;***;0.321
Платная дорога;ITS-NegBin;изменение тренда β3;0.0094;0.0069;0.1735;;1.009
Световые приборы;ITS-OLS/NW;скачок уровня β2;0.6418;0.5084;0.2067;;
Световые приборы;ITS-OLS/NW;изменение тренда β3;-0.0146;0.0207;0.4797;;
Световые приборы;ITS-Poisson;скачок уровня β2;0.4062;0.438;0.3537;;1.501
Световые приборы;ITS-Poisson;изменение тренда β3;-0.0387;0.0306;0.2062;;0.962
Световые приборы;ITS-NegBin;скачок уровня β2;0.4296;0.4417;0.3308;;1.537
Световые приборы;ITS-NegBin;изменение тренда β3;-0.0349;0.03;0.2453;;0.966
Все нарушения;ITS-OLS/NW;скачок уровня β2;138.0618;38.0955;0.0003;***;
Все нарушения;ITS-OLS/NW;изменение тренда β3;1.2807;0.949;0.1772;;
Все нарушения;ITS-Poisson;скачок уровня β2;0.3223;0.078;0.0;***;1.38
Все нарушения;ITS-Poisson;изменение тренда β3;0.0036;0.0022;0.1059;;1.004
Все нарушения;ITS-NegBin;скачок уровня β2;0.3201;0.0839;0.0001;***;1.377
Все нарушения;ITS-NegBin;изменение тренда β3;0.0036;0.0022;0.1109;;1.004
