outcome;спец;IRR;CI;SE;p;знч;клиентов;набл.
Composite (манёвренные);MAY;1.434;"[1.322; 1.556]";0.0415;0.0;***;3022;12088
Composite (манёвренные);JUN;0.932;"[0.865; 1.004]";0.0379;0.0628;*;3022;12088
Нарушение разметки;MAY;1.79;"[1.592; 2.012]";0.0596;0.0;***;1645;6580
Нарушение разметки;JUN;0.955;"[0.862; 1.058]";0.0521;0.3795;;1645;6580
Остановка/стоянка в неположенном месте;MAY;0.722;"[0.604; 0.863]";0.091;0.0003;***;524;2096
Остановка/стоянка в неположенном месте;JUN;0.912;"[0.753; 1.105]";0.0979;0.3469;;524;2096
Пересечение стоп-линии;MAY;1.705;"[1.333; 2.182]";0.1257;0.0;***;466;1864
Пересечение стоп-линии;JUN;1.046;"[0.851; 1.286]";0.1052;0.6681;;466;1864
Движение по обочине;MAY;1.372;"[1.000; 1.882]";0.1614;0.05;*;245;980
Движение по обочине;JUN;0.566;"[0.404; 0.792]";0.1715;0.0009;***;245;980
Движение по выделенной полосе;MAY;1.389;"[1.145; 1.684]";0.0984;0.0008;***;657;2628
Движение по выделенной полосе;JUN;0.984;"[0.823; 1.175]";0.0907;0.8547;;657;2628
Использование телефона за рулём;MAY;1.673;"[1.398; 2.002]";0.0917;0.0;***;757;3028
Использование телефона за рулём;JUN;1.098;"[0.937; 1.286]";0.0808;0.2479;;757;3028
Превышение 20-40 км/ч;MAY;1.301;"[1.259; 1.344]";0.0167;0.0;***;11665;46660
Превышение 20-40 км/ч;JUN;1.057;"[1.027; 1.088]";0.0149;0.0002;***;11665;46660
Ремень безопасности;MAY;2.744;"[2.360; 3.191]";0.077;0.0;***;1479;5916
Ремень безопасности;JUN;0.973;"[0.856; 1.105]";0.0652;0.6726;;1479;5916
Платная дорога;MAY;0.876;"[0.665; 1.154]";0.1407;0.3466;;237;948
Платная дорога;JUN;2.115;"[1.508; 2.965]";0.1724;0.0;***;237;948
Световые приборы;MAY;3.316;"[1.832; 6.002]";0.3028;0.0001;***;143;572
Световые приборы;JUN;1.522;"[1.104; 2.098]";0.1638;0.0104;**;143;572
Все нарушения;MAY;1.356;"[1.316; 1.397]";0.0153;0.0;***;13014;52056
Все нарушения;JUN;1.049;"[1.021; 1.077]";0.0135;0.0004;***;13014;52056
