таблица;код;что_обнаружено;строк;решение
clients;DUP_VEHICLE_ROW;"пара (client_id, auto_document_id) встречается дважды; 0 пар идентичны, 47 различаются только счётчиками штрафов";47;оставлена строка с максимальным fines_last_12_month, вторая помечена флагом
clients;VEHICLE_MULTI_CLIENT;один auto_document_id связан с несколькими client_id (вероятно перепродажа авто);196;сохранено как есть — это не ошибка данных
clients;NULL_GENDER;пропуск в поле gender;42;"НЕ импутировано; строка остаётся, выпадает только из моделей с этим признаком"
clients;NULL_AGE_TYPE_CODE;пропуск в поле age_type_code;2;"НЕ импутировано; строка остаётся, выпадает только из моделей с этим признаком"
clients;NULL_ENGINE_TYPE;пропуск в поле engine_type;2;"НЕ импутировано; строка остаётся, выпадает только из моделей с этим признаком"
clients;NULL_PRICE;пропуск в поле price;631;"НЕ импутировано; строка остаётся, выпадает только из моделей с этим признаком"
clients;NULL_COLOR;пропуск в поле color;1408;"НЕ импутировано; строка остаётся, выпадает только из моделей с этим признаком"
clients;SUBSCRIBED_MID_WINDOW;клиент подключился после 01.04.2026 — у него нет полного докризисного периода;2650;"помечен; исключён из фиксированной когорты для расчёта ставок"
clients;NO_2025_BASELINE;клиент подключился после 01.04.2025 — счётчики штрафов 2025 механически занижены;11727;"помечен; исключён из всех межгодовых сравнений 2025 vs 2026"
clients;POST_TREATMENT_WINDOW;fines_last_6/12/24/36 пересекаются с периодом кризиса (корр. с исходом 0.52 против 0.31 у датированных колонок 2025);28237;"ЗАПРЕЩЕНЫ как контрольные переменные; вместо них — помесячные колонки 2025"
fines;DUPLICATE_BILL;разные bill_id при полном совпадении клиента, секунды нарушения, статьи и суммы;4;оставлено первое постановление, второе помечено флагом
fines;AMOUNT_IN_KOPECKS;сумма штрафа указана в копейках, не в рублях;77978;добавлена колонка fine_rub = total_fine_amount/100
fines;LEFT_TRUNCATION;суточное число растёт с 116 до плато 524 — выгрузка неполна на старте;3032;"помечено; ИСКЛЮЧЕНО из всех расчётов по нарушениям"
fines;RIGHT_CENSORING;с 01.08 монотонное затухание до 4/день у даты выгрузки — лаг регистрации;12622;"помечено; ИСКЛЮЧЕНО. Иначе ложный вывод о падении нарушений на ~32%"
fuel;REVERSAL;"объём <= 0 (минимум -164.0 л); среднее зеркально положительному; равномерно по месяцам";1500;"помечено; ИСКЛЮЧЕНО из агрегатов объёма и цены, строка сохранена"
fuel;PRICE_MULTIMODAL;распределение цены трёхмодальное: газ ~31 ₽/л, бензин/ДТ 50-110 ₽/л (97.3%), не моторное топливо ~259 ₽/л при объёме 6.6 л;10398;"разделено по тарифным группам; основной анализ — только Бензин/ДТ"
fuel;LARGE_VOLUME;объём > 100 л (максимум 505.6 л) — возможно коммерческие/бензовозные заправки;1060;"СОХРАНЕНО; все ключевые метрики считаются по перцентилям, устойчивым к хвосту"
fuel;VOLUME_QUANTIZATION;"36.6% объёмов имеют дробную часть .62; модальные значения 35.62/45.62/55.62 л совпадают с лимитами заправки";138997;"сохранено; используется как индикатор связанности лимитом"
fuel;CRISIS_PHASES_DERIVED;фазы режима нормирования выведены из суточного p90 объёма и доли заправок >50 л;379699;начало кризиса 2026-06-19, жёсткий лимит 2026-06-24
